time,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20,train or test
2022-07-28 01:00:00,22.2,9.9,73.7,21.4,1.7,31.3,4.5,0.6,2.6,2.442,2.2,1.544,3.2,1.7,0.7,3.4,4.6,4.784,0.976,1.8,train
2022-07-28 02:00:00,16.0,6.1,69.6,15.3,2.2,19.0,3.5,0.5,1.4,1.072,0.6,1.144,2.9,0.5,0.3,2.3,2.8,3.912,0.744,1.1,train
2022-07-28 03:00:00,13.6,4.6,67.2,11.6,1.3,15.2,2.9,0.4,0.8,0.94,1.1,0.476,2.3,0.4,0.1,1.1,1.1,3.384,0.346,1.0,train
2022-07-28 04:00:00,15.2,4.1,68.0,12.1,1.3,13.8,1.7,0.3,1.4,0.321,0.6,0.212,2.4,0.4,0.2,0.9,1.3,3.104,0.161,1.2,train
2022-07-28 05:00:00,20.1,5.1,48.0,14.9,1.6,16.7,2.8,0.5,1.7,0.372,0.8,0.559,2.4,0.4,0.2,1.5,2.0,4.048,0.631,1.3,train
2022-07-28 06:00:00,34.4,12.8,55.0,30.7,3.6,44.5,9.8,1.3,5.4,1.061,2.6,2.564,3.1,2.0,1.3,3.0,5.3,5.312,1.437,2.6,train
2022-07-28 07:00:00,47.6,23.7,77.2,51.2,7.6,96.2,19.4,3.2,9.1,3.416,6.0,3.972,5.1,4.0,2.9,6.5,11.5,9.48,4.148,3.1,train
2022-07-28 08:00:00,57.5,26.2,92.0,59.8,7.9,111.3,19.5,2.6,9.0,3.916,6.7,5.592,7.2,4.3,3.4,7.5,12.8,9.664,3.884,3.6,train
2022-07-28 09:00:00,50.2,27.1,96.6,51.9,7.2,106.0,16.7,2.8,9.5,4.908,6.0,5.084,9.7,3.2,2.7,5.5,11.1,9.832,2.936,3.3,train
2022-07-28 10:00:00,53.6,24.4,95.7,46.7,5.7,87.7,13.1,2.7,6.8,3.95,5.3,3.804,10.2,2.8,2.0,5.7,7.6,8.456,2.396,3.2,train
2022-07-28 11:00:00,49.0,22.1,91.0,46.3,5.4,76.0,13.3,1.5,6.4,3.898,5.8,3.288,12.7,2.7,1.9,5.7,8.8,8.08,2.466,3.5,train
2022-07-28 12:00:00,45.0,20.2,90.0,41.3,5.1,74.6,14.0,1.7,6.2,3.118,5.4,3.552,11.6,2.7,2.0,4.9,8.6,7.12,3.634,3.9,train
2022-07-28 13:00:00,34.6,17.0,81.5,31.0,4.0,57.2,11.5,1.9,4.8,2.258,4.2,2.252,9.0,1.7,1.2,4.4,6.0,7.088,2.698,3.0,train
2022-07-28 14:00:00,33.0,12.3,75.5,20.7,3.2,49.5,8.2,1.7,3.2,1.776,2.7,1.904,8.6,1.5,1.4,3.2,4.8,5.128,2.096,3.3,train
2022-07-28 15:00:00,37.5,12.4,80.5,25.8,3.0,95.7,6.5,1.8,3.1,0.872,2.8,1.864,9.1,1.4,0.9,3.0,4.1,4.64,3.432,3.0,train
2022-07-28 16:00:00,34.7,12.9,78.2,29.6,3.2,109.3,8.0,2.0,4.2,1.622,3.2,1.748,9.1,1.8,1.5,3.1,4.9,5.992,1.886,2.7,train
2022-07-28 17:00:00,44.2,17.4,87.3,43.5,3.9,71.7,12.0,2.7,6.6,1.96,4.4,2.564,9.6,1.9,1.6,4.2,6.3,6.704,2.472,3.4,train
2022-07-28 18:00:00,49.6,25.2,91.5,56.9,6.2,80.3,14.9,3.0,7.5,2.858,5.9,4.164,10.2,2.9,2.3,6.3,8.7,8.64,3.364,3.6,train
2022-07-28 19:00:00,54.2,28.4,99.5,61.3,5.9,94.0,20.2,3.4,8.2,3.194,6.8,4.056,10.8,3.3,2.8,7.8,12.9,9.92,4.404,3.9,train
2022-07-28 20:00:00,67.4,32.5,106.7,69.4,7.7,121.7,24.6,4.0,11.4,4.608,9.3,5.528,11.7,5.2,3.7,11.7,14.4,12.976,6.19,4.0,train
2022-07-28 21:00:00,84.9,42.4,107.0,81.4,12.5,160.8,37.8,4.3,17.2,6.528,11.3,8.532,12.8,7.2,5.3,14.5,20.3,15.808,7.722,6.2,train
2022-07-28 22:00:00,61.0,47.8,101.8,83.1,12.5,161.2,36.0,6.4,17.4,8.036,14.5,9.504,9.5,8.9,5.4,15.7,22.9,18.272,7.954,6.9,train
2022-07-28 23:00:00,72.7,32.5,94.2,92.3,7.5,111.0,29.2,4.0,10.7,6.906,11.2,7.668,7.1,6.3,3.0,10.9,16.6,14.208,4.958,4.4,train
2022-07-29 00:00:00,20.9,17.9,78.8,62.0,4.1,60.6,12.3,2.4,5.3,2.166,5.7,3.256,5.4,3.8,1.9,5.6,9.6,7.6,2.454,2.8,train
2022-07-29 01:00:00,37.7,8.6,70.2,20.6,2.5,29.2,5.7,0.6,2.6,1.236,3.7,1.424,3.1,1.7,1.1,3.5,4.7,4.28,1.032,1.8,train
2022-07-29 02:00:00,7.2,6.4,67.3,13.5,1.3,18.5,3.4,0.5,2.5,0.249,1.9,1.144,2.3,0.5,0.4,1.7,2.4,3.912,0.546,1.3,train
2022-07-29 03:00:00,31.2,4.9,65.3,11.4,1.2,15.5,2.1,0.4,1.2,0.351,1.1,0.476,2.4,0.4,0.2,1.5,1.3,3.384,0.233,0.9,train
2022-07-29 04:00:00,6.4,4.2,64.4,11.5,0.9,12.8,1.9,0.3,0.9,0.129,1.0,0.212,2.2,0.4,0.1,1.1,1.3,3.104,0.224,0.9,train
2022-07-29 05:00:00,16.6,4.9,43.3,14.2,1.2,16.2,2.9,0.5,1.7,0.292,1.1,0.583,2.4,0.4,0.7,1.5,2.7,2.561,0.808,1.3,train
2022-07-29 06:00:00,32.5,13.1,49.7,32.4,3.3,45.5,9.5,1.3,5.9,1.061,3.3,2.636,3.0,2.0,1.2,3.2,6.4,5.432,1.437,2.3,train
2022-07-29 07:00:00,48.3,25.0,77.6,51.0,8.1,93.3,18.4,3.2,10.0,3.416,5.5,3.972,5.5,4.0,3.4,6.6,12.1,9.376,4.148,3.1,train
2022-07-29 08:00:00,57.7,25.4,91.4,59.8,7.8,107.2,19.6,2.6,10.1,3.916,7.0,5.144,5.9,4.3,3.3,7.5,11.7,10.128,3.884,6.7,train
2022-07-29 09:00:00,56.8,25.8,97.6,55.3,6.5,99.8,16.7,2.8,9.2,4.908,6.8,4.512,11.8,3.2,2.3,5.7,10.8,9.464,2.936,11.7,train
2022-07-29 10:00:00,56.9,23.8,94.7,48.0,5.9,85.0,13.9,2.7,7.0,3.95,5.5,2.892,12.8,2.8,1.9,6.6,9.0,8.168,2.396,11.3,train
2022-07-29 11:00:00,42.7,20.2,93.0,47.0,4.6,77.2,13.1,1.5,5.8,3.898,6.1,3.128,11.1,2.7,2.1,6.1,9.0,8.448,2.466,10.8,train
2022-07-29 12:00:00,45.3,20.0,91.7,40.4,5.5,76.2,12.4,1.7,6.2,3.118,6.0,3.552,9.4,2.7,2.2,5.5,8.8,7.224,3.634,8.3,train
2022-07-29 13:00:00,40.8,16.5,83.8,34.7,4.1,60.6,9.7,1.5,4.4,2.258,4.3,2.252,8.9,1.7,1.6,4.2,6.4,5.648,2.698,3.0,train
2022-07-29 14:00:00,33.3,11.3,76.2,23.6,3.1,60.4,6.5,1.4,3.2,1.776,2.9,1.904,8.5,1.5,1.0,3.1,4.3,4.632,2.096,2.9,train
2022-07-29 15:00:00,31.5,12.3,80.8,25.8,3.5,67.8,7.1,0.7,3.1,0.872,2.1,1.864,8.4,1.4,0.6,3.0,4.0,4.208,3.432,2.8,train
2022-07-29 16:00:00,36.2,14.2,84.0,30.9,3.6,67.0,7.7,1.2,3.3,1.622,3.1,1.748,9.0,1.8,1.2,3.5,4.9,4.848,1.886,2.8,train
2022-07-29 17:00:00,43.0,18.9,97.5,43.7,4.4,66.8,11.3,1.5,5.5,1.96,4.0,2.564,9.3,1.9,2.1,3.8,7.0,5.784,2.472,3.9,train
2022-07-29 18:00:00,50.8,21.0,143.5,58.7,6.3,80.0,14.5,1.9,6.4,2.858,6.5,4.164,9.3,2.9,2.1,6.6,10.8,7.264,3.364,3.5,train
2022-07-29 19:00:00,57.5,24.7,130.2,62.1,7.2,99.7,18.7,2.3,8.2,3.194,6.6,4.232,10.2,3.3,2.7,8.7,11.7,9.296,4.404,4.0,train
2022-07-29 20:00:00,64.7,31.6,107.0,66.6,8.2,120.3,24.0,2.7,10.5,4.608,8.7,5.54,10.3,5.2,3.4,9.6,13.3,10.432,6.19,3.6,train
2022-07-29 21:00:00,93.2,39.6,107.6,79.2,12.1,154.4,32.3,4.4,13.2,6.528,10.4,8.784,11.8,7.2,4.1,11.5,19.0,13.68,6.798,5.2,train
2022-07-29 22:00:00,81.3,43.4,101.2,82.2,11.7,154.8,33.8,6.2,17.7,8.036,12.3,8.872,8.1,8.9,6.0,15.3,19.8,17.056,7.09,5.7,train
2022-07-29 23:00:00,51.9,32.1,93.2,93.4,7.0,111.5,26.4,4.3,11.0,6.906,11.4,5.88,7.6,6.3,3.2,11.2,15.2,13.072,5.294,4.7,train
2022-07-30 00:00:00,37.8,20.9,81.3,55.0,5.5,66.5,15.6,2.0,5.7,2.166,6.7,4.024,4.9,3.8,1.8,6.6,9.5,9.704,2.454,3.6,train
2022-07-30 01:00:00,26.4,10.8,71.3,24.2,2.1,39.5,7.2,0.7,2.8,1.236,3.2,1.8,3.7,1.7,1.6,4.2,5.8,4.776,1.032,1.9,train
2022-07-30 02:00:00,20.6,6.6,66.7,16.9,1.8,21.7,3.5,0.3,2.0,0.249,1.6,0.876,3.0,0.5,0.5,2.6,3.0,3.28,0.546,1.3,train
2022-07-30 03:00:00,18.1,5.8,65.0,12.6,1.2,22.3,2.4,0.2,1.4,0.351,1.2,0.632,2.5,0.4,0.3,1.4,1.2,2.84,0.765,0.7,train
2022-07-30 04:00:00,17.5,4.6,61.5,12.5,1.0,19.0,2.6,0.5,1.4,0.129,0.6,0.528,2.4,0.4,0.3,1.3,1.3,2.408,0.202,1.0,train
2022-07-30 05:00:00,20.7,5.9,40.8,14.3,1.1,22.0,2.8,0.5,1.6,0.316,1.2,0.64,2.6,0.4,0.4,1.9,2.0,2.448,0.387,1.2,train
2022-07-30 06:00:00,31.1,10.8,51.2,26.2,3.0,46.0,7.4,1.1,4.4,1.061,2.8,1.98,3.1,2.0,1.2,2.9,4.7,4.656,1.728,2.1,train
2022-07-30 07:00:00,45.0,19.3,74.2,42.4,5.3,77.3,13.9,2.0,7.6,3.416,4.8,3.656,3.5,4.0,2.4,4.6,8.6,7.048,4.62,2.7,train
2022-07-30 08:00:00,54.8,24.6,86.6,53.6,8.9,97.0,18.9,3.3,9.8,3.916,6.3,4.036,7.6,4.3,3.0,7.2,10.0,8.952,3.954,3.2,train
2022-07-30 09:00:00,68.6,26.3,91.7,58.8,8.1,99.2,20.6,3.1,9.4,4.908,6.3,4.22,9.6,3.2,3.0,8.1,11.0,8.376,4.984,3.6,train
2022-07-30 10:00:00,36.6,22.6,88.0,51.9,8.4,93.8,18.6,2.8,8.2,3.95,6.3,4.608,10.3,2.8,2.2,8.1,11.5,9.0,3.894,3.5,train
2022-07-30 11:00:00,46.7,24.4,88.5,50.7,7.2,90.0,17.6,2.6,7.7,3.898,6.2,3.944,9.5,2.7,2.3,7.1,12.7,8.688,4.126,3.2,train
2022-07-30 12:00:00,54.2,24.0,88.8,45.7,7.4,85.0,16.3,2.5,7.6,3.118,6.5,3.96,9.6,2.7,3.0,7.3,11.8,8.232,3.242,3.8,train
2022-07-30 13:00:00,48.1,19.8,81.2,37.9,4.6,70.4,12.4,2.8,6.2,2.258,3.9,2.952,9.3,1.7,1.9,5.2,9.5,7.56,2.724,3.2,train
2022-07-30 14:00:00,21.8,14.2,75.5,25.0,4.1,56.8,8.6,1.7,3.9,1.776,3.4,2.328,8.8,1.5,1.3,4.0,7.4,5.7,1.806,2.7,train
2022-07-30 15:00:00,40.8,13.7,73.3,27.5,4.0,62.5,9.4,1.2,3.6,1.794,3.0,2.104,8.6,1.4,1.3,3.9,6.0,6.15,1.766,2.4,train
2022-07-30 16:00:00,45.1,14.9,73.0,32.5,3.9,68.0,9.9,1.1,4.1,1.778,2.8,1.612,9.0,1.8,1.5,4.4,8.5,6.87,1.924,2.4,train
2022-07-30 17:00:00,27.0,18.9,83.4,45.3,4.3,96.5,11.4,1.7,6.7,2.618,4.9,2.204,9.3,1.9,1.8,5.7,8.7,6.97,2.352,3.3,train
2022-07-30 18:00:00,57.9,22.7,93.0,55.6,5.8,89.8,14.0,1.9,7.4,2.858,6.3,2.905,10.3,2.9,2.5,6.6,8.8,7.83,3.364,3.2,train
2022-07-30 19:00:00,53.3,24.3,99.8,55.6,6.7,94.4,17.6,2.7,6.9,3.194,7.1,3.461,9.9,3.3,3.1,7.6,11.5,8.86,4.404,3.2,train
